ProductID,ProductName,Category,SubCategory,ProductPrice,SupplierPrice
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,13097.0,10478.0
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,12098.0,10404.0
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,17098.0,13165.0
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,4858.0,4081.0
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,Bookcases,7098.0,5182.0
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,20098.0,16882.0
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,12098.0,10888.0
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,5814.0,4419.0
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,10098.0,9391.0
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,13097.0,10609.0
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,Bookcases,7098.0,5324.0
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,Bookcases,8498.0,6628.0
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,13097.0,11002.0
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,30098.0,21069.0
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,Bookcases,16097.0,14327.0
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,12098.0,10041.0
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,24098.0,17110.0
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Furniture,Bookcases,14097.0,13252.0
FUR-BO-10005000,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,14097.0,12969.0
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,50098.0,40579.0
FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,Bookcases,8098.0,6559.0
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,26098.0,19313.0
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Furniture,Bookcases,7098.0,5040.0
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,28098.0,19669.0
FUR-BO-10002824,Bush Mission Pointe Library,Furniture,Bookcases,15097.0,12078.0
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,8194.0,6146.0
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,Bookcases,17098.0,13849.0
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,13097.0,11002.0
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,11498.0,10463.0
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,22098.0,19888.0
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,Bookcases,43098.0,40512.0
FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,Bookcases,3098.0,2881.0
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases,10098.0,7775.0
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,Bookcases,5798.0,5334.0
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Furniture,Bookcases,10098.0,7573.0
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,Bookcases,22098.0,17015.0
FUR-BO-10003893,Sauder Camden County Collection Library,Furniture,Bookcases,11498.0,9198.0
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Furniture,Bookcases,7098.0,4969.0
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,Bookcases,18098.0,16107.0
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,17098.0,14362.0
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,11999.0,9359.0
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,14097.0,11278.0
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,Bookcases,20098.0,18088.0
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,Furniture,Bookcases,16097.0,14005.0
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases,7098.0,5111.0
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,Bookcases,9999.0,8098.0
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,Bookcases,13747.0,12786.0
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,18098.0,13935.0
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,5798.0,4522.0
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,88098.0,67835.0
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs,21660.0,16028.0
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,Chairs,29905.0,21532.0
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,Chairs,8098.0,7693.0
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,Chairs,27098.0,24930.0
FUR-CH-10000309,Global Comet Stacking Arm Chair,Furniture,Chairs,42251.0,31688.0
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Furniture,Chairs,9099.0,7643.0
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,24398.0,17079.0
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,12999.0,11829.0
FUR-CH-10000553,"Metal Folding Chairs, Beige, 4/Carton",Furniture,Chairs,3394.0,2478.0
FUR-CH-10000595,Safco Contoured Stacking Chairs,Furniture,Chairs,23840.0,17880.0
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Furniture,Chairs,15097.0,10569.0
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,18098.0,15202.0
FUR-CH-10000785,Global Ergonomic Managers Chair,Furniture,Chairs,18098.0,13393.0
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,Furniture,Chairs,29098.0,21533.0
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,15097.0,13437.0
FUR-CH-10000988,Hon Olson Stacker Stools,Furniture,Chairs,14081.0,10138.0
FUR-CH-10005001,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,6089.0,4567.0
FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,5089.0,4529.0
FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,Furniture,Chairs,13599.0,12375.0
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,50098.0,37574.0
FUR-CH-10001270,Harbour Creations Steel Folding Chair,Furniture,Chairs,8625.0,6038.0
FUR-CH-10001394,Global Leather Executive Chair,Furniture,Chairs,35099.0,24569.0
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,13097.0,11657.0
FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,Furniture,Chairs,11398.0,9574.0
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,14097.0,11137.0
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,15088.0,13882.0
FUR-CH-10001797,"Safco Chair Connectors, 6/Carton",Furniture,Chairs,3847.0,2732.0
FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,Furniture,Chairs,12098.0,9557.0
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,35098.0,26674.0
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs,9598.0,7006.0
FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs,11098.0,9544.0
FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Furniture,Chairs,2664.0,1918.0
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,70098.0,56078.0
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Furniture,Chairs,13097.0,12181.0
FUR-CH-10002073,Hon Olson Stacker Chairs,Furniture,Chairs,26477.0,18799.0
FUR-CH-10002084,Hon Mobius Operator's Chair,Furniture,Chairs,12299.0,9593.0
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,Chairs,24398.0,17567.0
FUR-CH-10002304,"Global Stack Chair without Arms, Black",Furniture,Chairs,2598.0,1948.0
FUR-CH-10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,Furniture,Chairs,25898.0,18129.0
FUR-CH-10002320,Hon Pagoda Stacking Chairs,Furniture,Chairs,32098.0,22469.0
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,35598.0,28122.0
FUR-CH-10002335,Hon GuestStacker Chair,Furniture,Chairs,22667.0,16774.0
FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,8098.0,7126.0
FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,5822.0,4308.0
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,15097.0,11173.0
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,7098.0,5324.0
FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",Furniture,Chairs,24398.0,17079.0
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,5098.0,3620.0
FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,Furniture,Chairs,9098.0,6914.0
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,12299.0,10946.0
FUR-CH-10002961,"Leather Task Chair, Black",Furniture,Chairs,9098.0,7278.0
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,20098.0,14672.0
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,8999.0,7289.0
FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,Furniture,Chairs,11098.0,8434.0
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,13097.0,11919.0
FUR-CH-10003312,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,28098.0,26131.0
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs,28498.0,21374.0
FUR-CH-10003396,Global Deluxe Steno Chair,Furniture,Chairs,7698.0,6851.0
FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",Furniture,Chairs,6098.0,5061.0
FUR-CH-10003606,SAFCO Folding Chair Trolley,Furniture,Chairs,12824.0,9233.0
FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,32098.0,23111.0
FUR-CH-10003761,Global Italian Leather Office Chair,Furniture,Chairs,13097.0,9562.0
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,Chairs,9098.0,7915.0
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,6074.0,4556.0
FUR-CH-10003833,Novimex Fabric Task Chair,Furniture,Chairs,6098.0,5183.0
